video_id,title,filename,pub_date,assemblyai_transcript_id
rnrqTYN1iV8,Do It Now Ivan 3 02 01 24,2024-02-01-do-it-now-ivan-3-02-01-24.md,2024-02-01,9beb2e2a-77ef-4c5b-98cb-fec2299330f2
I_YdV4pqwLQ,Callum 10 02 03 24,2024-02-03-callum-10-02-03-24.md,2024-02-03,56f341fa-8692-46e2-a65c-6b969c5077d7
S5JwNM8HIeg,Dhamma Dasa & DJ The Sangha UK 188 02 03 24,2024-02-03-dhamma-dasa---dj-the-sangha-uk-188-02-03-24.md,2024-02-03,c1046467-0d99-46ac-9f51-0229275e9182
lMpkOF4blSA,Karl 2 3 24,2024-02-03-karl-2-3-24.md,2024-02-03,47f277d0-5767-4893-b868-be7e6dea86ed
Pnm1vP1KLS4,The Sangha US 102 02 03 24,2024-02-03-the-sangha-us-102-02-03-24.md,2024-02-03,6d405055-ac3d-405c-b90d-acddcedb7405
P0auJT5TL9w,The Sangha UK 189 02 04 24,2024-02-04-the-sangha-uk-189-02-04-24.md,2024-02-04,f378d41c-d9cc-4bc9-a89e-4ee069b88b2f
X4qyx-McyHo,Look at What You're Thinking Ivan 4 02 06 24,2024-02-06-look-at-what-you-re-thinking-ivan-4-02-06-24.md,2024-02-06,37ce7bcc-8604-41cb-bc08-a558cee3dbc6
73x6hq0QeJk,The Sangha UK 190 02 08 24,2024-02-08-the-sangha-uk-190-02-08-24.md,2024-02-08,05678b44-f383-4c09-8fab-f4583d45d557
msFGwhCY2Ds,The Sangha US 103 02 10 24,2024-02-10-the-sangha-us-103-02-10-24.md,2024-02-10,89c9b44a-6f44-4fb2-b23f-d96389ac060a
VDsFnsJoOT0,The Sangha UK 191 02 11 24,2024-02-11-the-sangha-uk-191-02-11-24.md,2024-02-11,2c97ca6e-83f6-4fca-8826-3ca728c1273e
K7Cn5dzBCuo,Aninudh remember to remember 2 13 24,2024-02-13-aninudh-remember-to-remember-2-13-24.md,2024-02-13,5c4097a3-e206-4a42-8659-4776b9bdd30e
9d8eGshr9lA,Three Watches Of The Night Gerry 20 02 13 24,2024-02-13-three-watches-of-the-night-gerry-20-02-13-24.md,2024-02-13,08a69936-f3c0-48f2-9c9f-000071f5b873
